WORLD,NAME,AGE GROUP,GENDER ,OCCULT,ETHNICITY,JOB,JOB DETAIL / BRANCH AND LEVEL,NOTES,PLAYABLE SIM,STATUS,Family Status,"LOT VALUE
=IF(Lots!I#="""","""",Lots!I#)",HOUSEHOLD FUNDS,BANK CASH,TOTAL,WEALTH CLASS,INDIVIDUAL WEALTH CLASS,CLUB,FAME LEVEL,PET,PET NOTES,PRESTIGE RANK,SUGAR,DOS,OWES KASON MONEY,OWES KASON TIME,FAITH,ADDICTION,ALIGNMENT,POWER SOURCE,FORM LEVEL,MAGICAL ABILITIES,SPELLS,ALCHEMY POTIONS,ALTAR CONFIGURATIONS,OCCULT GROUP,LANGUAGE SPOKEN,POLITICAL ALIGNMENT,ORIENTATION
Brindleton Bay,Keshav Bhatnagar,Adult,Male,Human,North Windenburgian,"Vet Clinic owner , Pet Trainer , Small Business Employee",At Safe Tails Rescue,"this family is pet crazy, they also foster pets in their home",Yes,Not Started,Mehra-Chaudhary-Bhatnagar,"§87,577","§30,000",,"§117,577",Middle Class,Middle Class,,,"Cat,Dog,Dog, Iguana, Toucan",Lemon,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Straight
Brindleton Bay,Parivita Bhatnagar,Adult,Female,Human,North Windenburgian,"Vet Clinic owner ,  Self Employed","Owner of Safe Tails Rescue, Also Vet Clinic Employee",Owns animal shelter,Yes,Not Started,Mehra-Chaudhary-Bhatnagar,Same as Keshav same household,Same as Keshav same household,,,,Middle Class,The Simstainable Collective,,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",Simstainable,Straight
Brindleton Bay,Rishaan Bhatnagar,Toddler,Male,Human,North Windenburgian,,,,Yes,Not Started,Mehra-Chaudhary-Bhatnagar,Same as Keshav same household,Same as Keshav same household,,,,Middle Class,,,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,
Brindleton Bay,Marjorie Elcott,Adult,Male,Human,Ravenian,Self Employed,"Owner of Domus Familiaris, Cat Café",Cat dad,Yes,Not Started,,"§126,978","§40,000",,"§166,978",Middle Class,Middle Class,,,"Cat,Cat,Cat,Cat,Cat",,,,,,,,,,,,,,,,,"Simlish , Ravena",,Same Gender
Brindleton Bay,Yeonwoo Baek,Adult,Male,Human,Komorebigan,"Model , Small Business Employee",At Safe Tails Rescue,"Seasoned model
Give DS model trait",No,Not Started,Heartwell_Baek_Beaumont_Nguyen_Schulz_Arista_Okafor,"§126,985","§7,000",,"§133,985",Middle Class,Middle Class,The Barbie Fan Club,,"Tortoise, Bird",,,,,,,,,,,,,,,,,"Simlish , Komorebigo",,Straight
Brindleton Bay,Eunha Baek,Teenager,Female,Human,Komorebigan,"Independent School Student , Student Council Member",,,No,Not Started,Heartwell_Baek_Beaumont_Nguyen_Schulz_Arista_Okafor,"Same as Etienne, same household","Same as Etienne, same household",,,,Middle Class,"The Equestrian Club , The Nichole Yoh Fan Club , The Performing Arts and Dance Club",,,,,,,,,,,,,,,,,,,"Simlish , Komorebigo",,Same Gender
Brindleton Bay,Hynseok Baek,Teenager,Male,Human,Komorebigan,"Independent School Student , Adventure club Member , Small Business Employee",At Domus Familiaris,,No,Not Started,Heartwell_Baek_Beaumont_Nguyen_Schulz_Arista_Okafor,"Same as Etienne, same household","Same as Etienne, same household",,,,Middle Class,Wild Scouts,,,,,,,,,,,,,,,,,,,"Simlish , Komorebigo",,Straight
Brindleton Bay,Nari Baek,Teenager,Other,Human,Komorebigan,"Independent School Student , Chess Team Member Small Business Employee",At Domus Familiaris,,No,Not Started,Heartwell_Baek_Beaumont_Nguyen_Schulz_Arista_Okafor,"Same as Etienne, same household","Same as Etienne, same household",,,,Middle Class,The STEM Society,,,,,,,,,,,,,,,,,,,"Simlish , Komorebigo",,Both Genders
Brindleton Bay,Edda Sorensen,Adult,Male,Alien,Sixan (Windenburgian disguise ),"Doctor , NPC Senior Pollination Technician",,NPC,No,Not Started,,"§115,254","§25,000",,"§140,254",Middle Class,Poor,,,Chameleon,,,,,,,,,,,,,,,,,"Simlish , Sixami , Windenburgish",,Straight
Brindleton Bay,Supriya Delgato,Young Adult,Female,Human,Eastern Simli,Vet Employee,,Give Job,No,Not Started,Delgato,"§97,741",in game,,,,,,,"Dog,Cat, Lovebird, Lovebird, Sugar Glider",,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Straight
Brindleton Bay,Justin Delgato,Young Adult,Male,Human,Eastern Simli,Detective,,Give Job,No,Not Started,Delgato,"Same as Supriya, same household",in game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Straight
Brindleton Bay,Pierce Delgato,Child,Male,Human,Eastern Simli,"Alternative (Public) School Child , Art Classes",,give job,No,Not Started,Delgato,"Same as Supriya, same household",in game,,,,,The Art Appreciation Society,,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,
Brindleton Bay,Evie Delgato,Toddler,Female,Human,Eastern Simli,,,,No,Not Started,Delgato,"Same as Supriya, same household",in game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,
Brindleton Bay,Black Clarke,Adult,Female,Infected,Western Simli,High-Risk Inmate (NPC-Agent),,"murderer,SOLC",No,Ongoing,,,§500,,§500,Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Straight
Brindleton Bay,Slick Davis,Adult,Male,Human,Komorebigan,High-Risk Inmate (NPC-Agent),,"sexual deviant,SOLB",No,Ongoing,,,§500,,§500,Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,,"Simlish , Komorebigo",Llamazonian,Straight
Brindleton Bay,Blaize Thompson,Adult,Male,Human,Eastern Simli,LittleMsSam More Buyable Venues cc Low-Risk Inmate (NPC-Agent),,"Arsonist,2C",No,Ongoing,,,"§2,000",,"§2,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,,Simlish,,Straight
Brindleton Bay,Chef Moore,Adult,Female,Human,Eastern Simli,LittleMsSam More Buyable Venues cc Low-Risk Inmate (NPC-Agent),,"likes food,2E",No,Ongoing,,,"§2,000",,"§2,000",Destitute,Destitute,"Prisoner Self Care , Prisoner Activities, The Foodies",,,,,,,,,,,,,,,,,,,Simlish,,Straight
Brindleton Bay,Fixer Russo,Adult,Male,Human,Western Simli,LittleMsSam More Buyable Venues cc Low-Risk Inmate (NPC-Agent),,"normal,2A",No,Ongoing,,,"§2,000",,"§2,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,,Simlish,,Straight
Brindleton Bay,Ink Reynolds,Adult,Female,Human,North Windenburgian,LittleMsSam More Buyable Venues cc Low-Risk Inmate (NPC-Agent),,"tattoo,2E",No,Ongoing,,,"§2,000",,"§2,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,"800,000",Owes money,,,,,,,,,,,Simlish,,Straight
Brindleton Bay,Needles Jacobs,Young Adult,Female,Human,Ravenian,LittleMsSam More Buyable Venues cc Low-Risk Inmate (NPC-Agent),,"druggie,2D",No,Ongoing,Bailey_Moon_López_Montenegro_Jacobs_Solis,,"§2,000",,"§2,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,,"Simlish , Ravena",,Straight
Brindleton Bay,Queenpin Martinez,Adult,Female,Human,Selvadoradian,"LittleMsSam More Buyable Venues cc Low-Risk Inmate (NPC-Agent) , Shady Pharma",,"dealer,2D",No,Ongoing,,,"§2,000",,"§2,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,0,Owes forever,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
